name,num,descr
About Time Heating & Cooling,(519) 858-3187,Supply & Service for All Gas Appliances.
Aldus Printing,(519) 432-4438,Printing: Wedding Supplies & Services.
Carter’s Printing,(519) 434-9727,Commercial & Lithographic Printing.
CMS Legal Services,(519) 601-6262,Traffic Offences.
Doctor Nicholas Hogg D.P.C.,(519) 642-2222,Oral & Maxillofacial Surgeon Services.
Easyhome,(519) 659-5050,"Leasing Furniture, Appliances & Electronics."
Hairy Barker’s Grooming,(519) 679-9030,By Appointment..
H&R Block,(519) 438-6151,Financial & Tax Services.
Misteelco Inc.,(519) 679-1939,Steel Manufacturing & Distributing Firm.
Money Mart,(519) 451-3232,"Financial Services of Loans, Debit & Trades."
Old East Dental Specialists,(519) 432-1153 ,"Dr. Jason Bortolussi, Dental Services & Oral Health Care."
Ontario Dental Nurses & Assistants Assoc.,(519) 679-2566,Membership association supporting Ontario dental assistants.
​Reed J. Furniture Upholstery,(519) 659-9280,"Furniture Restoration, Repair & Upholstery.."
Wagner Dentistry Professionals Corp.,(519) 438-0660,Endodontic Services.
Print Studio,(519) 951-9595,Digital Imaging & Sign Services.
Rick Carter General Contracting,(519) 673-3382,Contractor & Custom Cabinetry & Architectural Woodworking.
Semco Paint Ltd.,(519) 439-1800,Wholesale Janitorial Supplies & Home Improvement.
Tax Smart,(519) 601-6401,"Income Tax Preparation, Business Solutions, Bookkeeping & Accounting, and more"
T&C Tidy & Clean Laundromat,(519) 433-4741,Coin Laundry.
U-Need-A-Cab,(519) 438-2121,Taxi Service.
Western Fair District,(519) 438-7203,A Multi-Faceted Event & Entertainment Centre.
​William Bulmer-Legal Agent,(519) 870-8407,Legal Services.
